"ID"	"Abbreviation"	"Description"	"Reaction"	"Description_new"	"GPR"	"Subsystem_new"	"Lower bound"	"Upper bound"	"Objective"	"Notes"	"EC Number"	"KEGG ID"
2303	"r_3466"	"IPC synthase (PI (1-18:0, 2-18:1) ceramide-2 (C24))"	"s_0482[g] + s_3372[gm]  -> s_0901[g] + s_3006[gm]"	"ceramide-2 (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:0, 2-18:1)[gm]  -> inositol-P-ceramide B (C24)[g] + diglyceride (1-18:0, 2-18:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2304	"r_3467"	"IPC synthase (PI (1-18:1, 2-18:1) ceramide-2 (C24))"	"s_0482[g] + s_3374[gm]  -> s_0901[g] + s_3010[gm]"	"ceramide-2 (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:1, 2-18:1)[gm]  -> inositol-P-ceramide B (C24)[g] + diglyceride (1-18:1, 2-18:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2305	"r_3468"	"IPC synthase (PI (1-16:0, 2-16:1) ceramide-2 (C26))"	"s_0485[g] + s_3358[gm]  -> s_0904[g] + s_2996[gm]"	"ceramide-2 (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:0, 2-16:1)[gm]  -> inositol-P-ceramide B (C26)[g] + diglyceride (1-16:0, 2-16:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2306	"r_3469"	"IPC synthase (PI (1-16:1, 2-16:1) ceramide-2 (C26))"	"s_0485[g] + s_3362[gm]  -> s_0904[g] + s_3000[gm]"	"ceramide-2 (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:1, 2-16:1)[gm]  -> inositol-P-ceramide B (C26)[g] + diglyceride (1-16:1, 2-16:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2307	"r_3470"	"IPC synthase (PI (1-18:0, 2-16:1) ceramide-2 (C26))"	"s_0485[g] + s_3364[gm]  -> s_0904[g] + s_3004[gm]"	"ceramide-2 (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:0, 2-16:1)[gm]  -> inositol-P-ceramide B (C26)[g] + diglyceride (1-18:0, 2-16:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2308	"r_3471"	"IPC synthase (PI (1-18:1, 2-16:1) ceramide-2 (C26))"	"s_0485[g] + s_3366[gm]  -> s_0904[g] + s_3008[gm]"	"ceramide-2 (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:1, 2-16:1)[gm]  -> inositol-P-ceramide B (C26)[g] + diglyceride (1-18:1, 2-16:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2309	"r_3472"	"IPC synthase (PI (1-16:0, 2-18:1) ceramide-2 (C26))"	"s_0485[g] + s_3368[gm]  -> s_0904[g] + s_2998[gm]"	"ceramide-2 (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:0, 2-18:1)[gm]  -> inositol-P-ceramide B (C26)[g] + diglyceride (1-16:0, 2-18:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2310	"r_3473"	"IPC synthase (PI (1-16:1, 2-18:1) ceramide-2 (C26))"	"s_0485[g] + s_3370[gm]  -> s_0904[g] + s_3002[gm]"	"ceramide-2 (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:1, 2-18:1)[gm]  -> inositol-P-ceramide B (C26)[g] + diglyceride (1-16:1, 2-18:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2311	"r_3474"	"IPC synthase (PI (1-18:0, 2-18:1) ceramide-2 (C26))"	"s_0485[g] + s_3372[gm]  -> s_0904[g] + s_3006[gm]"	"ceramide-2 (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:0, 2-18:1)[gm]  -> inositol-P-ceramide B (C26)[g] + diglyceride (1-18:0, 2-18:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2312	"r_3475"	"IPC synthase (PI (1-18:1, 2-18:1) ceramide-2 (C26))"	"s_0485[g] + s_3374[gm]  -> s_0904[g] + s_3010[gm]"	"ceramide-2 (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:1, 2-18:1)[gm]  -> inositol-P-ceramide B (C26)[g] + diglyceride (1-18:1, 2-18:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2313	"r_3476"	"IPC synthase (PI (1-16:0, 2-16:1) ceramide-3 (C24))"	"s_0494[g] + s_3358[gm]  -> s_0913[g] + s_2996[gm]"	"ceramide-3 (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:0, 2-16:1)[gm]  -> inositol-P-ceramide C (C24)[g] + diglyceride (1-16:0, 2-16:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2314	"r_3477"	"IPC synthase (PI (1-16:1, 2-16:1) ceramide-3 (C24))"	"s_0494[g] + s_3362[gm]  -> s_0913[g] + s_3000[gm]"	"ceramide-3 (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:1, 2-16:1)[gm]  -> inositol-P-ceramide C (C24)[g] + diglyceride (1-16:1, 2-16:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2315	"r_3478"	"IPC synthase (PI (1-18:0, 2-16:1) ceramide-3 (C24))"	"s_0494[g] + s_3364[gm]  -> s_0913[g] + s_3004[gm]"	"ceramide-3 (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:0, 2-16:1)[gm]  -> inositol-P-ceramide C (C24)[g] + diglyceride (1-18:0, 2-16:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2316	"r_3479"	"IPC synthase (PI (1-18:1, 2-16:1) ceramide-3 (C24))"	"s_0494[g] + s_3366[gm]  -> s_0913[g] + s_3008[gm]"	"ceramide-3 (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:1, 2-16:1)[gm]  -> inositol-P-ceramide C (C24)[g] + diglyceride (1-18:1, 2-16:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2317	"r_3480"	"IPC synthase (PI (1-16:0, 2-18:1) ceramide-3 (C24))"	"s_0494[g] + s_3368[gm]  -> s_0913[g] + s_2998[gm]"	"ceramide-3 (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:0, 2-18:1)[gm]  -> inositol-P-ceramide C (C24)[g] + diglyceride (1-16:0, 2-18:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2318	"r_3481"	"IPC synthase (PI (1-16:1, 2-18:1) ceramide-3 (C24))"	"s_0494[g] + s_3370[gm]  -> s_0913[g] + s_3002[gm]"	"ceramide-3 (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:1, 2-18:1)[gm]  -> inositol-P-ceramide C (C24)[g] + diglyceride (1-16:1, 2-18:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2319	"r_3482"	"IPC synthase (PI (1-18:0, 2-18:1) ceramide-3 (C24))"	"s_0494[g] + s_3372[gm]  -> s_0913[g] + s_3006[gm]"	"ceramide-3 (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:0, 2-18:1)[gm]  -> inositol-P-ceramide C (C24)[g] + diglyceride (1-18:0, 2-18:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2320	"r_3483"	"IPC synthase (PI (1-18:1, 2-18:1) ceramide-3 (C24))"	"s_0494[g] + s_3374[gm]  -> s_0913[g] + s_3010[gm]"	"ceramide-3 (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:1, 2-18:1)[gm]  -> inositol-P-ceramide C (C24)[g] + diglyceride (1-18:1, 2-18:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2321	"r_3484"	"IPC synthase (PI (1-16:0, 2-16:1) ceramide-3 (C26))"	"s_0497[g] + s_3358[gm]  -> s_0916[g] + s_2996[gm]"	"ceramide-3 (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:0, 2-16:1)[gm]  -> inositol-P-ceramide C (C26)[g] + diglyceride (1-16:0, 2-16:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2322	"r_3485"	"IPC synthase (PI (1-16:1, 2-16:1) ceramide-3 (C26))"	"s_0497[g] + s_3362[gm]  -> s_0916[g] + s_3000[gm]"	"ceramide-3 (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:1, 2-16:1)[gm]  -> inositol-P-ceramide C (C26)[g] + diglyceride (1-16:1, 2-16:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2323	"r_3486"	"IPC synthase (PI (1-18:0, 2-16:1) ceramide-3 (C26))"	"s_0497[g] + s_3364[gm]  -> s_0916[g] + s_3004[gm]"	"ceramide-3 (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:0, 2-16:1)[gm]  -> inositol-P-ceramide C (C26)[g] + diglyceride (1-18:0, 2-16:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2324	"r_3487"	"IPC synthase (PI (1-18:1, 2-16:1) ceramide-3 (C26))"	"s_0497[g] + s_3366[gm]  -> s_0916[g] + s_3008[gm]"	"ceramide-3 (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:1, 2-16:1)[gm]  -> inositol-P-ceramide C (C26)[g] + diglyceride (1-18:1, 2-16:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2325	"r_3488"	"IPC synthase (PI (1-16:0, 2-18:1) ceramide-3 (C26))"	"s_0497[g] + s_3368[gm]  -> s_0916[g] + s_2998[gm]"	"ceramide-3 (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:0, 2-18:1)[gm]  -> inositol-P-ceramide C (C26)[g] + diglyceride (1-16:0, 2-18:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2326	"r_3489"	"IPC synthase (PI (1-16:1, 2-18:1) ceramide-3 (C26))"	"s_0497[g] + s_3370[gm]  -> s_0916[g] + s_3002[gm]"	"ceramide-3 (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:1, 2-18:1)[gm]  -> inositol-P-ceramide C (C26)[g] + diglyceride (1-16:1, 2-18:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2327	"r_3490"	"IPC synthase (PI (1-18:0, 2-18:1) ceramide-3 (C26))"	"s_0497[g] + s_3372[gm]  -> s_0916[g] + s_3006[gm]"	"ceramide-3 (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:0, 2-18:1)[gm]  -> inositol-P-ceramide C (C26)[g] + diglyceride (1-18:0, 2-18:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2328	"r_3491"	"IPC synthase (PI (1-18:1, 2-18:1) ceramide-3 (C26))"	"s_0497[g] + s_3374[gm]  -> s_0916[g] + s_3010[gm]"	"ceramide-3 (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:1, 2-18:1)[gm]  -> inositol-P-ceramide C (C26)[g] + diglyceride (1-18:1, 2-18:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2329	"r_3492"	"IPC synthase (PI (1-16:0, 2-16:1) ceramide-4 (C24))"	"s_0500[g] + s_3358[gm]  -> s_0919[g] + s_2996[gm]"	"ceramide-4 (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:0, 2-16:1)[gm]  -> inositol-P-ceramide D (C24)[g] + diglyceride (1-16:0, 2-16:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2330	"r_3493"	"IPC synthase (PI (1-16:1, 2-16:1) ceramide-4 (C24))"	"s_0500[g] + s_3362[gm]  -> s_0919[g] + s_3000[gm]"	"ceramide-4 (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:1, 2-16:1)[gm]  -> inositol-P-ceramide D (C24)[g] + diglyceride (1-16:1, 2-16:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2331	"r_3494"	"IPC synthase (PI (1-18:0, 2-16:1) ceramide-4 (C24))"	"s_0500[g] + s_3364[gm]  -> s_0919[g] + s_3004[gm]"	"ceramide-4 (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:0, 2-16:1)[gm]  -> inositol-P-ceramide D (C24)[g] + diglyceride (1-18:0, 2-16:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2332	"r_3495"	"IPC synthase (PI (1-18:1, 2-16:1) ceramide-4 (C24))"	"s_0500[g] + s_3366[gm]  -> s_0919[g] + s_3008[gm]"	"ceramide-4 (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:1, 2-16:1)[gm]  -> inositol-P-ceramide D (C24)[g] + diglyceride (1-18:1, 2-16:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2333	"r_3496"	"IPC synthase (PI (1-16:0, 2-18:1) ceramide-4 (C24))"	"s_0500[g] + s_3368[gm]  -> s_0919[g] + s_2998[gm]"	"ceramide-4 (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:0, 2-18:1)[gm]  -> inositol-P-ceramide D (C24)[g] + diglyceride (1-16:0, 2-18:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2334	"r_3497"	"IPC synthase (PI (1-16:1, 2-18:1) ceramide-4 (C24))"	"s_0500[g] + s_3370[gm]  -> s_0919[g] + s_3002[gm]"	"ceramide-4 (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:1, 2-18:1)[gm]  -> inositol-P-ceramide D (C24)[g] + diglyceride (1-16:1, 2-18:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2335	"r_3498"	"IPC synthase (PI (1-18:0, 2-18:1) ceramide-4 (C24))"	"s_0500[g] + s_3372[gm]  -> s_0919[g] + s_3006[gm]"	"ceramide-4 (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:0, 2-18:1)[gm]  -> inositol-P-ceramide D (C24)[g] + diglyceride (1-18:0, 2-18:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2336	"r_3499"	"IPC synthase (PI (1-18:1, 2-18:1) ceramide-4 (C24))"	"s_0500[g] + s_3374[gm]  -> s_0919[g] + s_3010[gm]"	"ceramide-4 (C24)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:1, 2-18:1)[gm]  -> inositol-P-ceramide D (C24)[g] + diglyceride (1-18:1, 2-18:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2337	"r_3500"	"IPC synthase (PI (1-16:0, 2-16:1) ceramide-4 (C26))"	"s_0503[g] + s_3358[gm]  -> s_0922[g] + s_2996[gm]"	"ceramide-4 (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:0, 2-16:1)[gm]  -> inositol-P-ceramide D (C26)[g] + diglyceride (1-16:0, 2-16:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2338	"r_3501"	"IPC synthase (PI (1-16:1, 2-16:1) ceramide-4 (C26))"	"s_0503[g] + s_3362[gm]  -> s_0922[g] + s_3000[gm]"	"ceramide-4 (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:1, 2-16:1)[gm]  -> inositol-P-ceramide D (C26)[g] + diglyceride (1-16:1, 2-16:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2339	"r_3502"	"IPC synthase (PI (1-18:0, 2-16:1) ceramide-4 (C26))"	"s_0503[g] + s_3364[gm]  -> s_0922[g] + s_3004[gm]"	"ceramide-4 (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:0, 2-16:1)[gm]  -> inositol-P-ceramide D (C26)[g] + diglyceride (1-18:0, 2-16:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2340	"r_3503"	"IPC synthase (PI (1-18:1, 2-16:1) ceramide-4 (C26))"	"s_0503[g] + s_3366[gm]  -> s_0922[g] + s_3008[gm]"	"ceramide-4 (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:1, 2-16:1)[gm]  -> inositol-P-ceramide D (C26)[g] + diglyceride (1-18:1, 2-16:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2341	"r_3504"	"IPC synthase (PI (1-16:0, 2-18:1) ceramide-4 (C26))"	"s_0503[g] + s_3368[gm]  -> s_0922[g] + s_2998[gm]"	"ceramide-4 (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:0, 2-18:1)[gm]  -> inositol-P-ceramide D (C26)[g] + diglyceride (1-16:0, 2-18:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2342	"r_3505"	"IPC synthase (PI (1-16:1, 2-18:1) ceramide-4 (C26))"	"s_0503[g] + s_3370[gm]  -> s_0922[g] + s_3002[gm]"	"ceramide-4 (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-16:1, 2-18:1)[gm]  -> inositol-P-ceramide D (C26)[g] + diglyceride (1-16:1, 2-18:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2343	"r_3506"	"IPC synthase (PI (1-18:0, 2-18:1) ceramide-4 (C26))"	"s_0503[g] + s_3372[gm]  -> s_0922[g] + s_3006[gm]"	"ceramide-4 (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:0, 2-18:1)[gm]  -> inositol-P-ceramide D (C26)[g] + diglyceride (1-18:0, 2-18:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2344	"r_3507"	"IPC synthase (PI (1-18:1, 2-18:1) ceramide-4 (C26))"	"s_0503[g] + s_3374[gm]  -> s_0922[g] + s_3010[gm]"	"ceramide-4 (C26)[g] + 1-phosphatidyl-1D-myo-inositol (1-18:1, 2-18:1)[gm]  -> inositol-P-ceramide D (C26)[g] + diglyceride (1-18:1, 2-18:1)[gm]"	"( YDR367W and YKL004W )"	"sphingoglycolipid metabolism"	0	1000	0	"pmid:18296751; pmid:9092515"	"2.-.-.-"	"NA"
2345	"r_1357"	"isa complex sphingolipid"	"s_0892[g]  -> 0.80645 s_0536[g]"	"inositol-P-ceramide[g]  -> 0.80645 complex sphingolipid[g]"	"NA"	"isa reaction from yeast5"	0	1000	0	"NA"	"NA"	"NA"
2346	"r_1358"	"isa complex sphingolipid"	"s_1114[g]  -> 0.90323 s_0536[g]"	"mannosylinositol phosphorylceramide[g]  -> 0.90323 complex sphingolipid[g]"	"NA"	"isa reaction from yeast5"	0	1000	0	"NA"	"NA"	"NA"
2347	"r_1359"	"isa complex sphingolipid"	"s_0859[g]  -> s_0536[g]"	"inositol phosphomannosylinositol phosphoceramide[g]  -> complex sphingolipid[g]"	"NA"	"isa reaction from yeast5"	0	1000	0	"NA"	"NA"	"NA"
2348	"r_1360"	"isa complex sphingolipid"	"s_0893[m]  -> 0.80645 s_0537[m]"	"inositol-P-ceramide[m]  -> 0.80645 complex sphingolipid[m]"	"NA"	"isa reaction from yeast5"	0	1000	0	"NA"	"NA"	"NA"
2349	"r_1361"	"isa complex sphingolipid"	"s_1115[m]  -> 0.90323 s_0537[m]"	"mannosylinositol phosphorylceramide[m]  -> 0.90323 complex sphingolipid[m]"	"NA"	"isa reaction from yeast5"	0	1000	0	"NA"	"NA"	"NA"
2350	"r_1362"	"isa complex sphingolipid"	"s_0860[m]  -> s_0537[m]"	"inositol phosphomannosylinositol phosphoceramide[m]  -> complex sphingolipid[m]"	"NA"	"isa reaction from yeast5"	0	1000	0	"NA"	"NA"	"NA"
2351	"r_1363"	"isa dolichol"	"s_1483[lp]  -> 0.63636 s_0643[lp]"	"tetradecaprenyl diphosphate[lp]  -> 0.63636 dolichol[lp]"	"NA"	"isa reaction from yeast5"	0	1000	0	"NA"	"NA"	"NA"
2352	"r_1364"	"isa dolichol"	"s_1310[lp]  -> 0.68182 s_0643[lp]"	"pentadecaprenyl diphosphate[lp]  -> 0.68182 dolichol[lp]"	"NA"	"isa reaction from yeast5"	0	1000	0	"NA"	"NA"	"NA"
2353	"r_1365"	"isa dolichol"	"s_0829[lp]  -> 0.72727 s_0643[lp]"	"hexadecaprenyl diphosphate[lp]  -> 0.72727 dolichol[lp]"	"NA"	"isa reaction from yeast5"	0	1000	0	"NA"	"NA"	"NA"
2354	"r_1366"	"isa dolichol"	"s_0814[lp]  -> 0.77273 s_0643[lp]"	"heptadecaprenyl diphosphate[lp]  -> 0.77273 dolichol[lp]"	"NA"	"isa reaction from yeast5"	0	1000	0	"NA"	"NA"	"NA"
2355	"r_1367"	"isa dolichol"	"s_1246[lp]  -> 0.81818 s_0643[lp]"	"octadecaprenyl diphosphate[lp]  -> 0.81818 dolichol[lp]"	"NA"	"isa reaction from yeast5"	0	1000	0	"NA"	"NA"	"NA"
2356	"r_1368"	"isa dolichol"	"s_1229[lp]  -> 0.86364 s_0643[lp]"	"nonadecaprenyl diphosphate[lp]  -> 0.86364 dolichol[lp]"	"NA"	"isa reaction from yeast5"	0	1000	0	"NA"	"NA"	"NA"
2357	"r_1369"	"isa dolichol"	"s_0845[lp]  -> 0.90909 s_0643[lp]"	"icosaprenyl diphosphate[lp]  -> 0.90909 dolichol[lp]"	"NA"	"isa reaction from yeast5"	0	1000	0	"NA"	"NA"	"NA"
2358	"r_1370"	"isa dolichol"	"s_0813[lp]  -> 0.95455 s_0643[lp]"	"henicosaprenyl diphosphate[lp]  -> 0.95455 dolichol[lp]"	"NA"	"isa reaction from yeast5"	0	1000	0	"NA"	"NA"	"NA"
2359	"r_1371"	"isa dolichol"	"s_0640[lp]  -> s_0643[lp]"	"docosaprenyl diphosphate[lp]  -> dolichol[lp]"	"NA"	"isa reaction from yeast5"	0	1000	0	"NA"	"NA"	"NA"
2360	"r_1449"	"isa IPC"	"s_0907[g]  -> 0.96 s_0892[g]"	"inositol-P-ceramide B' (C24)[g]  -> 0.96 inositol-P-ceramide[g]"	"NA"	"isa reaction from yeast5"	0	1000	0	"NA"	"NA"	"NA"
2361	"r_1450"	"isa IPC"	"s_0910[g]  -> s_0892[g]"	"inositol-P-ceramide B' (C26)[g]  -> inositol-P-ceramide[g]"	"NA"	"isa reaction from yeast5"	0	1000	0	"NA"	"NA"	"NA"
2362	"r_1451"	"isa IPC"	"s_0913[g]  -> 0.96 s_0892[g]"	"inositol-P-ceramide C (C24)[g]  -> 0.96 inositol-P-ceramide[g]"	"NA"	"isa reaction from yeast5"	0	1000	0	"NA"	"NA"	"NA"
2363	"r_1452"	"isa IPC"	"s_0916[g]  -> s_0892[g]"	"inositol-P-ceramide C (C26)[g]  -> inositol-P-ceramide[g]"	"NA"	"isa reaction from yeast5"	0	1000	0	"NA"	"NA"	"NA"
2364	"r_1453"	"isa IPC"	"s_0895[g]  -> 0.96 s_0892[g]"	"inositol-P-ceramide A (C24)[g]  -> 0.96 inositol-P-ceramide[g]"	"NA"	"isa reaction from yeast5"	0	1000	0	"NA"	"NA"	"NA"
2365	"r_1454"	"isa IPC"	"s_0898[g]  -> s_0892[g]"	"inositol-P-ceramide A (C26)[g]  -> inositol-P-ceramide[g]"	"NA"	"isa reaction from yeast5"	0	1000	0	"NA"	"NA"	"NA"
2366	"r_1455"	"isa IPC"	"s_0901[g]  -> 0.96 s_0892[g]"	"inositol-P-ceramide B (C24)[g]  -> 0.96 inositol-P-ceramide[g]"	"NA"	"isa reaction from yeast5"	0	1000	0	"NA"	"NA"	"NA"
2367	"r_1456"	"isa IPC"	"s_0904[g]  -> s_0892[g]"	"inositol-P-ceramide B (C26)[g]  -> inositol-P-ceramide[g]"	"NA"	"isa reaction from yeast5"	0	1000	0	"NA"	"NA"	"NA"
2368	"r_1457"	"isa IPC"	"s_0919[g]  -> 0.96 s_0892[g]"	"inositol-P-ceramide D (C24)[g]  -> 0.96 inositol-P-ceramide[g]"	"NA"	"isa reaction from yeast5"	0	1000	0	"NA"	"NA"	"NA"
2369	"r_1458"	"isa IPC"	"s_0922[g]  -> s_0892[g]"	"inositol-P-ceramide D (C26)[g]  -> inositol-P-ceramide[g]"	"NA"	"isa reaction from yeast5"	0	1000	0	"NA"	"NA"	"NA"
