Abbreviation	Subsystem_new	Removed duplicated subsystems and evidences for the choosed subystem
r_2060	exchange reaction	No change
r_2061	exchange reaction	No change
r_2062	exchange reaction	No change
r_2063	transport [cytoplasm, endoplasmic_reticulum]	No change
r_2064	thiamine metabolism ( sce00730 )	imm904
r_2065	thiamine metabolism ( sce00730 )	imm904
r_2066	exchange reaction	No change
r_2067	exchange reaction	No change
r_2068	exchange reaction	No change
r_2069	thiamine metabolism ( sce00730 )	imm904
r_2070	other	can’t be found
r_2071	other	can’t be found
r_2072	transport [cytoplasm, mitochondrion]	No change
r_2073	exchange reaction	No change
r_2074	pyrimidine metabolism ( sce00240 )	kegg
r_2075	transport [cytoplasm, extracellular]	No change
r_2080	transport [cytoplasm, vacuole]	No change
r_2082	transport [cytoplasm, mitochondrion]	No change
r_2083	exchange reaction	No change
r_2084	transport [cytoplasm, extracellular]	No change
r_2085	transport [cytoplasm, mitochondrion]	No change
r_2086	transport [cytoplasm, mitochondrion]	No change
r_2087	transport [cytoplasm, peroxisome]	No change
r_2089	transport [cytoplasm, nucleus]	No change
r_2090	exchange reaction	No change
r_2091	exchange reaction	No change
r_2092	exchange reaction	No change
r_2093	transport [cytoplasm, mitochondrion]	No change
r_2094	transport [cytoplasm, endoplasmic_reticulum]	No change
r_2095	transport [cytoplasm, golgi]	No change
r_2096	transport [cytoplasm, mitochondrion]	No change
r_2097	transport [cytoplasm, nucleus]	No change
r_2098	transport [cytoplasm, peroxisome]	No change
r_2099	transport [cytoplasm, vacuole]	No change
r_2100	exchange reaction	No change
r_2101	transport [cytoplasm, extracellular]	No change
r_2102	exchange reaction	No change
r_2103	transport [cytoplasm, extracellular]	No change
r_2104	exchange reaction	No change
r_2105	transport [cytoplasm, extracellular]	No change
r_2106	exchange reaction	No change
r_2107	transport [cytoplasm, cell_envelope]	No change
r_2108	growth	No change
r_2111	exchange reaction	No change
r_2125	transport [cytoplasm, lipid_particle]	No change
r_2129	transport [cytoplasm, mitochondrion]	No change
r_2134	exchange reaction	No change
r_2136	transport [cytoplasm, extracellular]	No change
r_2137	exchange reaction	No change
r_2139	transport [cytoplasm, extracellular]	No change
r_2184	transport [cytoplasm, extracellular]	No change
r_2185	transport [cytoplasm, extracellular]	No change
r_2186	transport [cytoplasm, extracellular]	No change
r_2187	exchange reaction	No change
r_2188	exchange reaction	No change
r_2189	exchange reaction	No change
r_2190	transport [cytoplasm, extracellular]	No change
r_2191	transport [cytoplasm, extracellular]	No change
r_2192	transport [cytoplasm, extracellular]	No change
r_2193	exchange reaction	No change
r_2229	transport [cytoplasm, peroxisome]	No change
r_2230	transport [cytoplasm, peroxisome]	No change
r_2231	transport [cytoplasm, peroxisome]	No change
r_2812	glycerophospholipid metabolism ( sce00564 )	kegg
r_2813	glycerophospholipid metabolism ( sce00564 )	kegg
r_2814	glycerophospholipid metabolism ( sce00564 )	kegg
r_2815	glycerophospholipid metabolism ( sce00564 )	kegg
r_2816	glycerophospholipid metabolism ( sce00564 )	kegg
r_2817	glycerophospholipid metabolism ( sce00564 )	kegg
r_2818	glycerophospholipid metabolism ( sce00564 )	kegg
r_2819	glycerophospholipid metabolism ( sce00564 )	kegg
r_3332	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	kegg, not sure
r_3333	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	kegg, not sure
r_3334	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	kegg, not sure
r_3335	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	kegg, not sure
r_3336	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	kegg, not sure
r_3337	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	kegg, not sure
r_3338	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	kegg, not sure
r_3339	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	kegg, not sure
r_3340	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	kegg, not sure
r_3341	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	kegg, not sure
r_3342	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	kegg, not sure
r_3343	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	kegg, not sure
r_3344	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	kegg, not sure
r_3345	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	kegg, not sure
r_3346	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	kegg, not sure
r_3347	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	kegg, not sure
r_3508	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3509	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3510	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3511	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3512	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3513	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3514	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3515	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3516	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3517	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3518	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3519	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3520	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3521	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3522	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3523	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3524	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3525	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3526	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3527	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3528	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3529	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3530	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3531	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3532	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3533	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3534	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3535	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3536	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3537	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3538	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3539	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3540	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3541	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3542	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3543	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3544	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3545	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3546	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3547	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3548	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3549	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3550	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3551	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3552	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3553	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3554	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3555	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3556	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3557	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3558	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3559	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3560	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3561	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3562	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3563	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3564	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3565	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3566	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3567	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3568	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3569	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3570	transport [cytoplasm, endoplasmic_reticulum_membrane]	No change
r_3571	transport [cytoplasm, lipid_particle]	No change
r_3572	transport [cytoplasm, lipid_particle]	No change
r_3573	transport [cytoplasm, lipid_particle]	No change
r_3574	transport [cytoplasm, lipid_particle]	No change
r_3575	transport [cytoplasm, lipid_particle]	No change
r_3576	transport [cytoplasm, lipid_particle]	No change
r_3577	transport [cytoplasm, lipid_particle]	No change
r_3578	transport [cytoplasm, lipid_particle]	No change
r_3579	transport [cytoplasm, lipid_particle]	No change
r_3580	transport [cytoplasm, lipid_particle]	No change
r_3581	transport [cytoplasm, lipid_particle]	No change
r_3582	transport [cytoplasm, lipid_particle]	No change
r_3583	transport [cytoplasm, lipid_particle]	No change
r_3584	transport [cytoplasm, lipid_particle]	No change
r_3585	transport [cytoplasm, lipid_particle]	No change
r_3586	transport [cytoplasm, lipid_particle]	No change
r_3587	transport [cytoplasm, lipid_particle]	No change
r_3588	transport [cytoplasm, lipid_particle]	No change
r_3589	transport [cytoplasm, lipid_particle]	No change
r_3590	transport [cytoplasm, lipid_particle]	No change
r_3591	transport [cytoplasm, lipid_particle]	No change
r_3592	transport [cytoplasm, lipid_particle]	No change
r_3593	transport [cytoplasm, lipid_particle]	No change
r_3594	transport [cytoplasm, lipid_particle]	No change
r_3595	transport [cytoplasm, lipid_particle]	No change
r_3596	transport [cytoplasm, lipid_particle]	No change
r_3597	transport [cytoplasm, lipid_particle]	No change
r_3598	transport [cytoplasm, lipid_particle]	No change
r_3599	transport [cytoplasm, lipid_particle]	No change
r_3600	transport [cytoplasm, lipid_particle]	No change
r_3601	transport [cytoplasm, cell_envelope]	No change
r_3602	transport [cytoplasm, cell_envelope]	No change
r_3603	transport [cytoplasm, cell_envelope]	No change
r_3604	transport [cytoplasm, cell_envelope]	No change
r_3605	transport [cytoplasm, cell_envelope]	No change
r_3606	transport [cytoplasm, cell_envelope]	No change
r_3607	transport [cytoplasm, cell_envelope]	No change
r_3608	transport [cytoplasm, cell_envelope]	No change
r_3609	transport [cytoplasm, cell_envelope]	No change
r_3610	transport [cytoplasm, cell_envelope]	No change
r_3611	transport [cytoplasm, cell_envelope]	No change
r_3612	transport [cytoplasm, cell_envelope]	No change
r_3613	transport [cytoplasm, cell_envelope]	No change
r_3614	transport [cytoplasm, cell_envelope]	No change
r_3615	transport [cytoplasm, cell_envelope]	No change
r_3616	transport [cytoplasm, cell_envelope]	No change
r_3617	transport [cytoplasm, cell_envelope]	No change
r_3618	transport [cytoplasm, cell_envelope]	No change
r_3619	transport [cytoplasm, cell_envelope]	No change
r_3620	transport [cytoplasm, cell_envelope]	No change
r_3621	transport [cytoplasm, cell_envelope]	No change
r_3622	transport [cytoplasm, cell_envelope]	No change
r_3623	transport [cytoplasm, cell_envelope]	No change
r_3624	transport [cytoplasm, cell_envelope]	No change
r_3625	transport [cytoplasm, cell_envelope]	No change
r_3626	transport [cytoplasm, cell_envelope]	No change
r_3627	transport [cytoplasm, cell_envelope]	No change
r_3628	transport [cytoplasm, cell_envelope]	No change
r_3629	transport [cytoplasm, cell_envelope]	No change
r_3630	transport [cytoplasm, cell_envelope]	No change
r_3631	transport [cytoplasm, cell_envelope]	No change
r_3632	transport [cytoplasm, nucleus]	No change
r_3633	transport [cytoplasm, nucleus]	No change
r_3634	transport [cytoplasm, nucleus]	No change
r_3635	transport [cytoplasm, nucleus]	No change
r_3636	transport [cytoplasm, nucleus]	No change
r_3637	transport [cytoplasm, nucleus]	No change
r_3638	transport [cytoplasm, nucleus]	No change
r_3639	transport [cytoplasm, nucleus]	No change
r_3640	transport [cytoplasm, nucleus]	No change
r_3641	transport [cytoplasm, nucleus]	No change
r_3642	transport [cytoplasm, nucleus]	No change
r_3643	transport [cytoplasm, nucleus]	No change
r_3644	transport [cytoplasm, nucleus]	No change
r_3645	transport [cytoplasm, nucleus]	No change
r_3646	transport [cytoplasm, nucleus]	No change
r_3647	transport [cytoplasm, nucleus]	No change
r_3648	transport [cytoplasm, vacuolar_membrane]	No change
r_3649	transport [cytoplasm, vacuolar_membrane]	No change
r_3650	transport [cytoplasm, vacuolar_membrane]	No change
r_3651	transport [cytoplasm, vacuolar_membrane]	No change
r_3652	transport [cytoplasm, vacuolar_membrane]	No change
r_3653	transport [cytoplasm, vacuolar_membrane]	No change
r_3654	transport [cytoplasm, vacuolar_membrane]	No change
r_3655	transport [cytoplasm, vacuolar_membrane]	No change
r_3656	transport [cytoplasm, vacuolar_membrane]	No change
r_3657	transport [cytoplasm, vacuolar_membrane]	No change
r_3658	transport [cytoplasm, vacuolar_membrane]	No change
r_3659	transport [cytoplasm, vacuolar_membrane]	No change
r_3660	transport [cytoplasm, vacuolar_membrane]	No change
r_3661	transport [cytoplasm, vacuolar_membrane]	No change
r_3662	transport [cytoplasm, golgi_membrane]	No change
r_3663	transport [cytoplasm, golgi_membrane]	No change
r_3664	transport [cytoplasm, golgi_membrane]	No change
r_3665	transport [cytoplasm, golgi_membrane]	No change
r_3666	transport [cytoplasm, golgi_membrane]	No change
r_3667	transport [cytoplasm, golgi_membrane]	No change
r_3668	transport [cytoplasm, mitochondrial_membrane]	No change
r_3669	transport [cytoplasm, mitochondrial_membrane]	No change
r_3670	transport [cytoplasm, mitochondrial_membrane]	No change
r_3671	transport [cytoplasm, mitochondrial_membrane]	No change
r_3672	transport [cytoplasm, mitochondrial_membrane]	No change
r_3673	transport [cytoplasm, mitochondrial_membrane]	No change
r_3674	transport [cytoplasm, mitochondrial_membrane]	No change
r_3675	transport [cytoplasm, mitochondrial_membrane]	No change
r_3676	transport [cytoplasm, mitochondrial_membrane]	No change
r_3677	transport [cytoplasm, mitochondrial_membrane]	No change
r_3678	transport [cytoplasm, mitochondrial_membrane]	No change
r_3679	transport [cytoplasm, mitochondrial_membrane]	No change
r_3680	transport [cytoplasm, mitochondrial_membrane]	No change
r_3681	transport [endoplasmic_reticulum_membrane, lipid_particle]	No change
r_3682	transport [endoplasmic_reticulum_membrane, lipid_particle]	No change
r_3683	transport [endoplasmic_reticulum_membrane, lipid_particle]	No change
r_3684	transport [endoplasmic_reticulum_membrane, lipid_particle]	No change
r_3685	transport [endoplasmic_reticulum_membrane, lipid_particle]	No change
